Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Data_Risk_Reason,Qwen_Fraud_Flag,Qwen_Fraud_Reason,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag,Satellite_Risk_Reason,Final_GhostSchool_Reason,Satellite_Confidence
Real (Census),34420203,GPS TONDI,NAROWAL,SHAKARGARH,Primary,Functional,No,,3.0,,,77.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.2631481,75.1604548,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),34310578,GMPS JANDUKAY GORAYA,SIALKOT,DASKA,Primary,Functional,No,,5.0,,,141.0,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,8.33,Moderate toilet non-functionality (only 4 of 6 working),False,,32.3322279,74.3512339,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 4 of 6 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),34310564,GGES CHAK GILLAN SHARQI,SIALKOT,DASKA,Middle,Functional,No,,7.0,,,264.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.3322279,74.3512339,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),34320411,GMPS ANOOLA,SIALKOT,PASRUR,Primary,Functional,No,,,,,182.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.4846576,74.5442398,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),34320591,GGPS DATA ZAIDKA,SIALKOT,PASRUR,Primary,Functional,No,,,,,122.0,,2,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,No functional toilets (0 of 2),False,,32.4846576,74.5442398,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no functional toilets (0 of 2). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),34340049,GGHS BHOPAL WALA,SIALKOT,SAMBRIAL,High,Functional,No,,32.0,,,1054.0,,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.4756481,74.3529135,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",School-Level
Real (Census),35110217,GPS JAJJAL,KASUR,CHUNIAN,Primary,Functional,No,,5.0,,,125.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,30.9631954,73.9807183,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),35130241,GPS ALPA SADHARI,KASUR,PATTOKI,Primary,Functional,No,,4.0,,,73.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.0211712,73.8529652,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),35120754,GGPS CHAH KANDLAN WALA,KASUR,KASUR,Primary,Functional,No,,3.0,,,120.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.1178863,74.442669,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",School-Level
Real (Census),35110260,GPS FATEH MUHAMMAD KALAN,KASUR,CHUNIAN,Primary,Functional,No,,,,,217.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,30.9631954,73.9807183,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),35130178,GPS KANVEEN BLAQA SING,KASUR,PATTOKI,Primary,Functional,No,,3.0,,,120.0,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.0211712,73.8529652,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38330793,GGES TIBBA MEHRBAN SHAH,MIANWALI,PIPLAN,Middle,Functional,No,,8.0,,,182.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.2923004,71.3687782,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38331081,GGCMS CHAK NO.4 DB,MIANWALI,PIPLAN,Primary,Functional,No,,6.0,,,194.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.2923004,71.3687782,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38310049,GHS DALLA MIR WALA,MIANWALI,ISA KHEL,High,Functional,No,,13.0,,,406.0,,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.6750144,71.2761153,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",School-Level
Real (Census),38320408,GPS SHEIKHAN WALA,MIANWALI,MIANWALI,Primary,Functional,No,,5.0,,,68.0,,4,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,12.5,Moderate toilet non-functionality (only 2 of 4 working),False,,32.5793897,71.5353168,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 2 of 4 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),38320291,GPS MOUZA BAZAR,MIANWALI,MIANWALI,Primary,Functional,No,,5.0,,,127.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.5793897,71.5353168,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37140182,GGPS JAND NO.1,ATTOCK,JAND,Primary,Functional,No,,8.0,,,257.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.4317702,72.0196309,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37130189,GGES SARWAYA,ATTOCK,PINDI GHEB,Middle,Functional,No,,11.0,,,229.0,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.2437103,72.2686198,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37110078,GGHS SALAR,ATTOCK,ATTOCK,High,Functional,No,,18.0,,,404.0,,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,15.0,All monitored infrastructure indicators within normal range,False,,33.77451,72.3516178,0.0,0.0,0.0,Low_Density,Only 0% built-up area detected around the school's exact coordinates — sparse development; verify the school exists at its geocoded location (location-verification floor: at least Medium priority),"The census-based data analysis shows all monitored infrastructure indicators within normal range, but satellite imagery shows only 0% built-up around the school's exact location, indicating a sparsely developed area. The findings disagree: a functioning school would normally sit within a settled area, so the school's presence at its recorded coordinates remains unverified — imagery alone cannot distinguish a geocoding error from an absent school. A verification visit is recommended to confirm the school exists at its recorded location.",School-Level
Real (Census),37150029,GPS CHUKRA,ATTOCK,HASSANABDAL,Primary,Functional,No,,4.0,,,125.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,2.0,All monitored infrastructure indicators within normal range,False,,33.8150627,72.7030379,0.0,37.5,37.5,Mixed_Density,"Village-area shows 37.5% built-up area detected around coordinates — partially developed surroundings, satellite signal inconclusive (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, while satellite imagery shows 37.5% built-up in the surrounding village area (up from 0% in the 2017 imagery) — partially developed surroundings, an inconclusive signal on its own. Neither source provides a strong ghost-school signal.",Village-Level
Real (Census),37130200,GGHS DHOK DHERA,ATTOCK,PINDI GHEB,High,Functional,No,,12.0,,,422.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.2437103,72.2686198,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38130070,GPS BORING AMAN ULLAH,BHAKKAR,MANKERA,Primary,Functional,No,,4.0,,,51.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.3871859,71.4392176,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38140867,GPS JHOKE HAJI,BHAKKAR,DARYA KHAN,Primary,Functional,No,,3.0,,,102.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.7855908,71.1088112,57.81,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up around the school's exact location (up from 57.8% in the 2017 imagery), suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",School-Level
Real (Census),38110068,GGES PIR ASHAB,BHAKKAR,BHAKKAR,Middle,Functional,No,,12.0,,,586.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.6221111,71.0650584,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38110902,GPS MIAN ISA,BHAKKAR,BHAKKAR,Primary,Functional,No,,4.0,,,135.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.6221111,71.0650584,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),38130099,GPS SHAHI,BHAKKAR,MANKERA,Primary,Functional,No,,4.0,,,133.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,31.3871859,71.4392176,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37340027,GES ANWAR ABAD,RAWALPINDI,TAXILA,Middle,Functional,No,,17.0,,,531.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.7422793,72.8145203,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37370224,GPS TAREEL,RAWALPINDI,KALLAR SYEDAN,Primary,Functional,No,,5.0,,,105.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.4145534,73.3782841,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37330191,GGHS ADHWAL,RAWALPINDI,RAWALPINDI,High,Functional,No,,12.0,,,354.0,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,8.33,Moderate toilet non-functionality (only 4 of 6 working),False,,33.6040754,73.0483807,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 4 of 6 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),37370486,GPS MANMORE,RAWALPINDI,KALLAR SYEDAN,Primary,Functional,No,,4.0,,,61.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.4145534,73.3782841,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37360304,GPS KURI DOLAL P.O KURI DOLAL,RAWALPINDI,GUJAR KHAN,Primary,Functional,No,,4.0,,,52.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,33.2590018,73.3076163,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37420373,GGPS NAKA REHAN,CHAKWAL,TALAGANG,Primary,Functional,No,,4.0,,,51.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.9320074,72.8308888,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37410001,GHSS PADSHAHAN,CHAKWAL,CHAKWAL,H.Sec.,Functional,No,,22.0,,,550.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.932827,72.8629763,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (Census),37410518,GGPS REHRA,CHAKWAL,CHAKWAL,Primary,Functional,No,,4.0,,,21.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,All monitored infrastructure indicators within normal range,False,,32.932827,72.8629763,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The census-based data analysis shows all monitored infrastructure indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
